ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,322551,27.55%,9772
入浴剤,256800,21.93%,27609
その他,87395,7.46%,12416
ソープボトル・シャンプーボトル,78701,6.72%,0
バスマット,75042,6.41%,9592
整理棚・ラック,74654,6.38%,8842
風呂ふた,49694,4.24%,4094
椅子,49428,4.22%,4804
自動ソープディスペンサー,37495,3.20%,2098
タオルハンガー,36985,3.16%,5353
ボディタオル,18501,1.58%,5518
洗面器・風呂桶,16955,1.45%,2570
バス保温器,12823,1.10%,341
セット,9736,0.83%,1157
石けんケース・石けん台,9515,0.81%,2840
浴槽・浴室内マット,8843,0.76%,1387
ボディスポンジ,7156,0.61%,1865
ボディブラシ,6290,0.54%,1740
シャワーカーテン,4060,0.35%,0
シャワーヘッドホルダー・シャワーフック,3276,0.28%,662
バスピロー,1927,0.16%,390
バスブーツ,877,0.07%,230
サウナハット,772,0.07%,0
軽石,693,0.06%,297
泡立てネット,685,0.06%,295
