ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏壇,131184,49.52%,2323
位牌,21515,8.12%,1298
その他,20727,7.82%,3679
具足・仏具セット,18634,7.03%,1305
りん,14884,5.62%,1383
骨壷,11376,4.29%,1123
仏像,10591,4.00%,593
仏花,5093,1.92%,740
香炉,5008,1.89%,647
掛軸,4720,1.78%,618
経机,4245,1.60%,327
花立,2734,1.03%,490
盆提灯,2470,0.93%,262
線香立,2422,0.91%,800
具足,2238,0.84%,260
仏具用お手入れ用品,1303,0.49%,478
香炉灰・香炉石,1160,0.44%,550
香道具,954,0.36%,248
経本,943,0.36%,356
木魚,875,0.33%,172
骨袋,672,0.25%,241
香立て,492,0.19%,156
線香着火器,369,0.14%,204
水晶玉,302,0.11%,168
