ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スポンジ・たわし・ブラシ,171770,30.11%,27052
その他,120514,21.13%,14132
モップ,41951,7.35%,4940
フローリングワックス,32553,5.71%,2131
フロアワイパー・ダスター本体,32124,5.63%,3559
ほうき,29251,5.13%,3604
雑巾・テーブルダスター,28144,4.93%,4329
ガラス・サッシ掃除用具,22855,4.01%,3421
粘着式クリーナー,17858,3.13%,3269
フロアワイパー・ダスター取替シート,15452,2.71%,2577
バケツ,13499,2.37%,1956
はたき,13400,2.35%,1178
使い捨てクロス,12180,2.14%,1928
トイレポット,9182,1.61%,972
スプレーボトル,3985,0.70%,1005
ちりとり,2568,0.45%,582
ラバーカップ,2359,0.41%,352
モップ絞り器,834,0.15%,117
