ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,55179,26.00%,8182
こめ油,43110,20.32%,2733
その他,20461,9.64%,3069
ココナッツオイル,20107,9.48%,2123
ごま油,17822,8.40%,2934
亜麻仁油,11550,5.44%,1310
サラダ油,10991,5.18%,607
なたね油・キャノーラ油,9319,4.39%,1445
えごま油,8966,4.23%,1338
セット・詰め合わせ,5183,2.44%,599
グレープシードオイル,3597,1.69%,177
大豆油,3000,1.41%,171
椿油,675,0.32%,134
アボカドオイル,598,0.28%,134
トリュフオイル,526,0.25%,151
ひまわり油,456,0.21%,170
べに花油,266,0.13%,136
コーン油,171,0.08%,97
玄米油,157,0.07%,143
マスタードオイル,39,0.02%,98
ピーナッツオイル,29,0.01%,105
