ジャンル名,売上指数（千円）,シェア,商品ランク入り数
日用消耗品,4932672,27.90%,354392
文房具・事務用品,2487585,14.07%,682059
バス用品,2057459,11.64%,126500
手芸・クラフト・生地,1472908,8.33%,484939
生活雑貨,1375366,7.78%,204439
タオル,1191343,6.74%,70054
掃除用品,710847,4.02%,93810
洗濯用品,632303,3.58%,50307
防災関連グッズ,576002,3.26%,44681
仏壇・仏具・神具,489707,2.77%,60110
印鑑・ハンコ,427697,2.42%,75482
防犯関連グッズ,405336,2.29%,27798
その他,300077,1.70%,27682
旅行用品,292729,1.66%,24855
トイレ用品,250567,1.42%,29112
冠婚葬祭,44588,0.25%,14607
洋服ブラシ・毛玉取り,30609,0.17%,2905
業務用品・サービス(1703削除),1,0.00%,0
