ジャンル名,売上指数（千円）,シェア,商品ランク入り数
プロテイン,2178318,27.85%,39845
その他,1161323,14.85%,30000
ビタミン,761259,9.73%,40922
ファイトケミカル,648991,8.30%,15456
植物性エキス,648894,8.30%,48258
アミノ酸,593501,7.59%,25110
ミネラル,327402,4.19%,25798
プロバイオティクス,255008,3.26%,11595
酵素,213092,2.72%,11929
コラーゲン,195019,2.49%,11106
脂肪酸・オイル,194872,2.49%,11317
食物繊維,118283,1.51%,6965
プラセンタ,84769,1.08%,4118
ビタミン・ミネラル混合,76253,0.97%,2898
グルコサミン・コンドロイチン,69719,0.89%,4640
動物性エキス,65051,0.83%,4454
クエン酸,52040,0.67%,3961
ラクトフェリン,40054,0.51%,976
ヒアルロン酸,28475,0.36%,1539
プロポリス,25876,0.33%,2356
ローヤルゼリー,25385,0.32%,1353
オリゴ糖,24839,0.32%,2283
ミドリムシ,15656,0.20%,942
動植物性混合エキス,12718,0.16%,1297
核酸,5577,0.07%,437
