ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,287931,27.66%,20939
防災セット・非常用持ちだし袋,151394,14.54%,4530
簡易トイレ,146425,14.07%,6215
火災警報器・ガス警報器,80628,7.75%,4045
その他,76300,7.33%,5542
保存水,40912,3.93%,1782
消火器,36978,3.55%,2145
携帯用浄水器,36342,3.49%,1173
家具転倒防止用品,29286,2.81%,5159
防災ラジオ,26741,2.57%,1429
懐中電灯,25028,2.40%,4300
メガホン・拡声器,17396,1.67%,892
携帯トイレ,17048,1.64%,1952
防災ヘルメット,10415,1.00%,991
簡易毛布・寝袋,8923,0.86%,1273
給水用品,7976,0.77%,1427
土嚢,6649,0.64%,455
応急手当用品,6624,0.64%,895
避難はしご,6392,0.61%,484
防災頭巾,6237,0.60%,964
固形燃料,5151,0.49%,651
笛・ホイッスル,3845,0.37%,1138
発熱・加熱剤,2268,0.22%,582
ガソリン缶,2154,0.21%,249
担架,1381,0.13%,79
放射能測定器・ガイガーカウンター,418,0.04%,24
防災用ストーブ,161,0.02%,3
