ジャンル名,売上指数（千円）,シェア,商品ランク入り数
生地・布,291564,23.87%,30000
道具・キット,221924,18.17%,45235
裁縫材料,204483,16.74%,134929
アクセサリークラフト材料,136344,11.16%,31139
毛糸,85543,7.00%,20128
その他,73924,6.05%,24963
レジン液,50999,4.18%,4858
レザークラフト材料,45511,3.73%,10747
ビーズ・ストーン,40718,3.33%,29776
はぎれ・カットクロス,19536,1.60%,8079
陶芸,14135,1.16%,636
着色剤,12351,1.01%,2956
刺繍材料,10818,0.89%,5994
フェルト,4248,0.35%,2606
手芸材料セット,3820,0.31%,1114
編機・織機,2829,0.23%,588
パッチワーク・キルティング材料,1903,0.16%,2029
タイル,756,0.06%,337
アクセサリークラフトキット(1703削除),0,0.00%,71399
クラフト(1703削除),0,0.00%,9615
ビーズクラフト道具(1703削除),0,0.00%,7243
刺繍道具(1703削除),0,0.00%,7919
粘土・陶土(2205削除),0,0.00%,3405
編物道具(1703削除),0,0.00%,2008
裁縫道具(1703削除),0,0.00%,26068
