ジャンル名,売上指数（千円）,シェア,商品ランク入り数
収納用品,585535,43.74%,72664
その他,262162,19.58%,27012
スリッパ・ルームシューズ,184048,13.75%,32774
梱包資材,152728,11.41%,29899
作業用手袋・軍手,97337,7.27%,20800
断熱シート,27460,2.05%,0
蚊帳,16662,1.24%,1695
キャンドルスタンド,6936,0.52%,1942
ろうそく,5893,0.44%,2609
セロハンテープ・のり・接着剤(1703削除),0,0.00%,2960
ティッシュ・トイレットペーパー(2002削除),0,0.00%,17203
マット(2009削除),0,0.00%,11396
洗剤・柔軟剤・クリーナー(2002削除),0,0.00%,33766
消臭剤・芳香剤(2002削除),0,0.00%,28595
環境・エコロジーグッズ(1703削除),0,0.00%,2511
虫除け・殺虫剤(2002削除),0,0.00%,17956
袋(2002削除),0,0.00%,15164
