ジャンル名,売上指数（千円）,シェア,商品ランク入り数
丼,420091,35.71%,6010
蒲焼き,185849,15.80%,6017
みそ汁,125325,10.65%,12723
セット・詰め合わせ,83801,7.12%,5702
佃煮,60391,5.13%,11798
その他,59699,5.07%,8936
お茶漬け,35001,2.98%,3186
唐揚げ,31230,2.65%,1874
雑炊,24356,2.07%,1518
お粥,16241,1.38%,2775
煮物,15170,1.29%,3197
おにぎり,15106,1.28%,1549
寿司,14294,1.21%,2108
焼豚,12282,1.04%,1373
お好み焼き,12048,1.02%,1108
刺身・たたき,10090,0.86%,810
焼き鳥・つくね,9538,0.81%,1375
お吸い物,7837,0.67%,1175
たこ焼き,7547,0.64%,932
おこわ,5537,0.47%,752
おでん,5177,0.44%,876
焼き魚,4593,0.39%,476
ひつまぶし,4476,0.38%,247
天ぷら,3111,0.26%,585
白焼き,2646,0.22%,241
茶碗蒸し,2040,0.17%,218
赤飯,1967,0.17%,376
天かす・揚げ玉,462,0.04%,96
卵焼き,368,0.03%,94
もんじゃ焼き,127,0.01%,18
おひたし,55,0.00%,15
なます・酢の物,25,0.00%,4
