ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,25221,48.38%,1738
クラゲ,3800,7.29%,324
ナマコ,3766,7.22%,242
カレイ,2778,5.33%,541
サメ,1602,3.07%,207
アユ,1430,2.74%,359
サワラ,1319,2.53%,213
ノドグロ,1314,2.52%,216
エイ,1195,2.29%,315
ハモ,1138,2.18%,158
ニシン,1006,1.93%,337
クエ,979,1.88%,79
カワハギ,842,1.62%,264
ヒラメ,748,1.44%,179
カンパチ,726,1.39%,92
トビウオ,675,1.29%,203
アカメ・メヒカリ,631,1.21%,107
イワナ,607,1.16%,42
マス,525,1.01%,106
カジキ,307,0.59%,87
ハタハタ,289,0.55%,76
キス,256,0.49%,108
コイ,232,0.44%,78
アンコウ,216,0.41%,55
タチウオ,172,0.33%,48
スズキ,84,0.16%,10
カサゴ,49,0.09%,20
カマス,38,0.07%,26
コチ,38,0.07%,16
メバル,35,0.07%,19
オコゼ,33,0.06%,9
イサキ,31,0.06%,12
アイナメ,18,0.03%,4
サヨリ,15,0.03%,7
ヤマメ,11,0.02%,6
アラ,1,0.00%,1
