ジャンル名,売上指数（千円）,シェア,商品ランク入り数
山芋・自然薯,17757,39.22%,923
その他,10334,22.83%,2085
ブロッコリー,4122,9.10%,710
菊芋,3587,7.92%,505
大葉・しそ,2192,4.84%,359
れんこん,1197,2.64%,413
たけのこ,1098,2.43%,279
明日葉,841,1.86%,128
カリフラワー,765,1.69%,141
小松菜,693,1.53%,286
オクラ,654,1.44%,261
ゴーヤー,494,1.09%,150
ピーマン,479,1.06%,266
セロリ,397,0.88%,115
行者にんにく,158,0.35%,69
エシャロット,113,0.25%,33
パセリ,107,0.24%,81
銀杏,79,0.18%,27
かぶ,59,0.13%,42
パクチー・コリアンダー,58,0.13%,30
春菊,32,0.07%,23
ルッコラ,29,0.06%,15
水菜,26,0.06%,33
ヤーコン,4,0.01%,3
