ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,227247,35.02%,14315
マカ,53306,8.21%,4960
キノコ・マッシュルーム,45859,7.07%,2346
サラシア,44573,6.87%,1698
ウコン,36652,5.65%,4731
ブルーベリー,32656,5.03%,3738
スピルリナ,26545,4.09%,1241
高麗人参,24628,3.80%,1147
ノコギリヤシ,24435,3.77%,1868
イチョウ葉,20539,3.17%,1986
クロレラ,17727,2.73%,1210
田七人参,14483,2.23%,830
梅肉,12491,1.92%,1391
フコイダン,10918,1.68%,289
ニンニク,8497,1.31%,851
フォルスコリ,6844,1.05%,821
チアシード,6723,1.04%,651
トンカットアリ,6475,1.00%,684
アサイー,5299,0.82%,529
プエラリア,4773,0.74%,504
セントジョーンズワート,2830,0.44%,648
黒豆,2755,0.42%,144
ゴジベリー,2455,0.38%,178
カプサイシン,1864,0.29%,309
マキベリー,1811,0.28%,218
ビーポーレン,1500,0.23%,183
エキナセア,1456,0.22%,366
ガラナ,1279,0.20%,93
じゃばら,1000,0.15%,209
カカオ,772,0.12%,57
メシマコブ茸,255,0.04%,11
カムカム,203,0.03%,42
バジルシード,41,0.01%,10
