ジャンル名,売上指数（千円）,シェア,商品ランク入り数
セット・詰め合わせ,475652,15.85%,13336
サバ,401547,13.38%,4641
加工品,346355,11.54%,25054
サケ,240378,8.01%,9025
貝類,217038,7.23%,14030
魚卵,199428,6.65%,11899
エビ,194871,6.49%,6599
マグロ,166565,5.55%,5937
カニ,150773,5.02%,6359
イカ,110959,3.70%,11148
その他水産物,88607,2.95%,7313
海藻類,80223,2.67%,10913
ウニ,63864,2.13%,2791
カツオ,59862,1.99%,2447
アジ,36090,1.20%,1715
フグ,32367,1.08%,1590
その他,30225,1.01%,1954
ホッケ,25290,0.84%,1000
タイ,23275,0.78%,2067
イワシ,13895,0.46%,2754
ブリ,12403,0.41%,606
タコ,11731,0.39%,1706
タラ,7444,0.25%,971
シシャモ,5390,0.18%,379
サンマ,3978,0.13%,430
生ちりめん・生しらす,2917,0.10%,569
