ジャンル名,売上指数（千円）,シェア,商品ランク入り数
だし,332565,18.31%,30328
油,290235,15.98%,31226
セット・詰め合わせ,107769,5.93%,5668
砂糖・甘味料,105379,5.80%,14972
しお,105190,5.79%,18358
スパイス,104997,5.78%,28784
しょうゆ,104147,5.73%,24055
ソース・たれ,99744,5.49%,24486
酢,76126,4.19%,10624
みそ,69578,3.83%,18950
ふりかけ,60264,3.32%,13453
料理の素,53105,2.92%,13417
その他,52338,2.88%,10032
ドレッシング,38537,2.12%,10518
ミックススパイス・混合調味料,29570,1.63%,7551
めんつゆ,27090,1.49%,6469
ポン酢,23384,1.29%,5823
麹,22537,1.24%,3207
中華調味料,20730,1.14%,6985
みりん,20023,1.10%,3086
酒粕,9849,0.54%,1760
マヨネーズ,9835,0.54%,2675
韓国調味料,9264,0.51%,3834
アジアン・エスニック調味料,8485,0.47%,2399
料理酒,6006,0.33%,1207
ケチャップ,5909,0.33%,2125
ハーブ,5388,0.30%,3267
わさび,4494,0.25%,1811
からし・マスタード,4335,0.24%,1929
ラーメンスープ,3619,0.20%,1366
ラード,3332,0.18%,208
生わさび,2727,0.15%,567
