ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,37210,15.79%,27606
リボン,22143,9.39%,19495
手芸用テープ,20037,8.50%,12691
ひも,19874,8.43%,11097
ファスナー,19314,8.19%,12585
その他,18815,7.98%,8606
ボタン,15440,6.55%,13014
ミシン糸,13278,5.63%,7403
レース,11386,4.83%,11747
接着テープ・接着芯,9625,4.08%,4294
持ち手・ハンドル,5880,2.49%,2502
芯地,5677,2.41%,1564
ゴム,5235,2.22%,3764
ホック,4641,1.97%,2630
口金,4619,1.96%,2583
型紙・パターン,4325,1.83%,3178
面ファスナー,3906,1.66%,1472
手縫い糸,3520,1.49%,2853
バックル,2589,1.10%,2353
ネームシール,2166,0.92%,1141
ブレード,2137,0.91%,1971
チェーン,1269,0.54%,899
裏地,1207,0.51%,513
スパンコール,1017,0.43%,1336
マラボー,200,0.08%,63
肩パット,200,0.08%,144
