ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,510353,27.73%,147352
手帳・ノート・紙製品,239856,13.03%,108824
画材,163088,8.86%,32349
机上収納・整理用品,119751,6.51%,17435
ギフトラッピング用品,105442,5.73%,60752
ファイル・バインダー,100792,5.48%,32867
その他,87447,4.75%,19502
プレゼンテーション用品,79774,4.33%,9416
ラベル・ステッカー,76143,4.14%,35847
写真整理用品,75388,4.10%,12776
はさみ・裁断用品,46227,2.51%,10482
書道用具,45936,2.50%,11600
セロハンテープ・のり・接着剤,39800,2.16%,16014
ブックカバー,31148,1.69%,6584
クリップ・結束用具,20346,1.11%,9013
製図用品,19177,1.04%,7043
紙幣計数機・コインカウンタ,13279,0.72%,402
名札,13046,0.71%,4816
ホッチキス・穴あきパンチ,12478,0.68%,4233
マグネットシート,12361,0.67%,1569
マグネット,8113,0.44%,4350
ブックマーク・しおり,3826,0.21%,1862
下敷き,3796,0.21%,2318
画鋲・ピン,3640,0.20%,1232
チェックライター・ナンバーリング,3507,0.19%,453
製本機,2887,0.16%,723
紙めくり・事務用スポンジ,1782,0.10%,1367
タスキ・腕章,762,0.04%,218
レタースケール,412,0.02%,95
