ジャンル名,売上指数（千円）,シェア,商品ランク入り数
豆類,70024,17.08%,13499
にんにく,59892,14.61%,5848
とうもろこし,57899,14.12%,3724
きのこ,29102,7.10%,4047
サツマイモ,28050,6.84%,3351
その他野菜,27071,6.60%,5873
たまねぎ,21768,5.31%,2956
セット・詰め合わせ,20848,5.08%,2532
ジャガイモ,13522,3.30%,2112
生姜,12154,2.96%,1674
トマト,11977,2.92%,2151
にんじん,11313,2.76%,1352
カット野菜,8135,1.98%,1285
その他,7547,1.84%,1748
かぼちゃ,4729,1.15%,889
山菜,4127,1.01%,647
ねぎ,3999,0.98%,982
ナス,3248,0.79%,800
アスパラガス,2124,0.52%,393
ごぼう,2035,0.50%,666
ほうれん草,1737,0.42%,518
キュウリ,1492,0.36%,362
水煮野菜,1454,0.35%,294
らっきょう,1362,0.33%,232
キャベツ,1311,0.32%,515
大根,1263,0.31%,499
里芋,772,0.19%,185
レタス,658,0.16%,288
白菜,259,0.06%,139
ニラ,159,0.04%,74
