ジャンル名,売上指数（千円）,シェア,商品ランク入り数
お茶・紅茶,1779743,26.81%,175791
コーヒー,1655394,24.94%,105066
水・炭酸水,1183672,17.83%,31000
炭酸飲料,683687,10.30%,29384
野菜・果実飲料,627453,9.45%,31000
スポーツドリンク,118915,1.79%,9953
植物性ミルク,110494,1.66%,13513
乳酸菌飲料,110022,1.66%,10437
お酢飲料,81035,1.22%,7955
甘酒,66604,1.00%,8023
希釈用ドリンク,62541,0.94%,4700
その他,52716,0.79%,5591
ココア・チョコレートドリンク,30022,0.45%,5082
ゼリー飲料,25295,0.38%,3842
スムージー,16798,0.25%,1319
牛乳,15739,0.24%,2354
生姜湯,10003,0.15%,1436
フルーツ入り乳飲料,4516,0.07%,593
柚子茶,3856,0.06%,536
